user_id,umkm_id,kategori,model_bisnis,skala,jangkauan,lokasi_usaha,pertumbuhan_pendapatan
055fae89-7b46-4d94-8bd8-2f5be657a889,055fae89-7b46-4d94-8bd8-2f5be657a889,Teknologi,B2C,Mikro,Regional,"Medan, Sumatera Utara",0.42
0c4bea2b-f22b-4b5c-8770-d9b2e133b485,0c4bea2b-f22b-4b5c-8770-d9b2e133b485,Kriya,Reseller,Menengah,Regional,"Bandung, Jawa Barat",0.34
110c07e6-b253-46b6-8b7e-39467db9f10b,110c07e6-b253-46b6-8b7e-39467db9f10b,Pendidikan,Dropship,Kecil,Lokal,"Jakarta, DKI Jakarta",0.05
119d757a-7af9-4e2f-b403-3263458e7169,119d757a-7af9-4e2f-b403-3263458e7169,Teknologi,Dropship,Kecil,Lokal,"Padang, Sumatera Barat",0.0
119f101a-7f8c-4d3b-af80-ba4d0975fe74,119f101a-7f8c-4d3b-af80-ba4d0975fe74,Kuliner,Reseller,Menengah,Internasional,"Jakarta, DKI Jakarta",0.44
13d814be-43ec-4fbb-a241-f052b902ff89,13d814be-43ec-4fbb-a241-f052b902ff89,Kriya,Direct-to-consumer,Kecil,Internasional,"Balikpapan, Kalimantan Timur",0.04
13f3fda6-47b5-482b-828a-f730091e4294,13f3fda6-47b5-482b-828a-f730091e4294,Retail,B2B,Kecil,Nasional,"Surabaya, Jawa Timur",-0.1
1738ca96-a2e4-4a39-b5fe-1d6e8d182deb,1738ca96-a2e4-4a39-b5fe-1d6e8d182deb,Jasa,Direct-to-consumer,Mikro,Internasional,"Bandung, Jawa Barat",0.11
188d5e5a-f5fb-4069-a7a6-ccd3ebce4f87,188d5e5a-f5fb-4069-a7a6-ccd3ebce4f87,Fashion,Reseller,Menengah,Regional,"Padang, Sumatera Barat",0.05
189dd0b1-255d-4bbf-8e98-de1712065ccf,189dd0b1-255d-4bbf-8e98-de1712065ccf,Jasa,Dropship,Kecil,Nasional,"Surabaya, Jawa Timur",-0.01
1990e47f-4e3a-408e-9352-8272a4cbb0a1,1990e47f-4e3a-408e-9352-8272a4cbb0a1,Kesehatan,Dropship,Menengah,Internasional,"Balikpapan, Kalimantan Timur",0.47
1cf3a8c2-736a-497b-8025-927267f4ee40,1cf3a8c2-736a-497b-8025-927267f4ee40,Kuliner,Dropship,Mikro,Lokal,"Surabaya, Jawa Timur",0.41
1fe8a063-fb16-4ec8-88b5-7033f5185113,1fe8a063-fb16-4ec8-88b5-7033f5185113,Retail,Reseller,Mikro,Lokal,"Makassar, Sulawesi Selatan",0.04
25bdc9ea-de16-4276-a397-90e21c66c781,25bdc9ea-de16-4276-a397-90e21c66c781,Agribisnis,Direct-to-consumer,Mikro,Regional,"Padang, Sumatera Barat",0.3
26dd2107-6cca-470b-bf30-04ee57078e1e,26dd2107-6cca-470b-bf30-04ee57078e1e,Jasa,Franchise,Kecil,Lokal,"Semarang, Jawa Tengah",0.09
284a2c99-d090-4241-a389-870aa46f92f7,284a2c99-d090-4241-a389-870aa46f92f7,Kesehatan,B2B,Menengah,Nasional,"Semarang, Jawa Tengah",0.13
299b3d8d-4095-4dd9-8c61-1ffac97e48b8,299b3d8d-4095-4dd9-8c61-1ffac97e48b8,Kesehatan,Franchise,Menengah,Internasional,"Semarang, Jawa Tengah",-0.03
2a53bf28-66c4-4eae-b20e-70c68ff4b10a,2a53bf28-66c4-4eae-b20e-70c68ff4b10a,Kriya,Franchise,Mikro,Regional,"Padang, Sumatera Barat",0.08
2cb5cb02-6864-4ffb-8814-93f61fbba864,2cb5cb02-6864-4ffb-8814-93f61fbba864,Kuliner,Dropship,Kecil,Nasional,"Medan, Sumatera Utara",0.29
2f60bb07-bcfd-4f97-921f-38451379ffe2,2f60bb07-bcfd-4f97-921f-38451379ffe2,Kuliner,Dropship,Menengah,Lokal,"Medan, Sumatera Utara",0.31
3124e9db-0a85-4248-85b8-1f8a96e5273f,3124e9db-0a85-4248-85b8-1f8a96e5273f,Jasa,Dropship,Mikro,Nasional,"Padang, Sumatera Barat",0.29
313d2bc3-eaf8-4beb-925d-777095ee9db5,313d2bc3-eaf8-4beb-925d-777095ee9db5,Teknologi,Dropship,Mikro,Nasional,"Yogyakarta, DI Yogyakarta",0.23
31d9f9d1-2c64-421b-93ce-6e15d5e41d2e,31d9f9d1-2c64-421b-93ce-6e15d5e41d2e,Kuliner,B2B,Kecil,Internasional,"Denpasar, Bali",0.27
35272460-5716-416d-b604-e12934d26974,35272460-5716-416d-b604-e12934d26974,Pendidikan,Dropship,Menengah,Internasional,"Makassar, Sulawesi Selatan",0.06
365dbbe2-d88f-4c76-8f73-86156967f0f1,365dbbe2-d88f-4c76-8f73-86156967f0f1,Retail,Direct-to-consumer,Menengah,Lokal,"Padang, Sumatera Barat",0.3
3677cb19-38b8-46a1-9a19-aabbd29dc312,3677cb19-38b8-46a1-9a19-aabbd29dc312,Fashion,Dropship,Menengah,Internasional,"Surabaya, Jawa Timur",0.38
